county,county_fips,state,county_population,health_service_area_number,health_service_area,health_service_area_population,covid_inpatient_bed_utilization,covid_hospital_admissions_per_100k,covid_cases_per_100k,covid-19_community_level,date_updated,,3141
Bullock County,1011,Alabama,"10,101",171,"Montgomery (Montgomery), AL - Autauga, AL","386,117",3.9,9.8,554.4,Medium,7/14/22,,
Calhoun County,1015,Alabama,"113,605",177,"Calhoun (Anniston), AL - Carroll, GA","278,299",5.2,16.5,312.49,High,7/14/22,,
Chambers County,1017,Alabama,"33,254",172,"Coweta, GA - Troup (La Grange), GA","307,497",5.6,14.6,363.87,High,7/14/22,,
Clarke County,1025,Alabama,"23,622",161,"Mobile (Mobile), AL - Baldwin, AL","697,125",4.9,21.2,275.17,High,7/14/22,,
Conecuh County,1035,Alabama,"12,067",163,"Escambia (Pensacola), FL - Okaloosa, FL","836,138",4.4,19,522.09,High,7/14/22,,
Crenshaw County,1041,Alabama,"13,772",171,"Montgomery (Montgomery), AL - Autauga, AL","386,117",3.9,9.8,304.97,Medium,7/14/22,,
Etowah County,1055,Alabama,"102,268",224,"Etowah (Gadsden), AL - Marshall, AL","296,751",4.6,15.2,272.81,High,7/14/22,,
Fayette County,1057,Alabama,"16,302",247,"Marion, AL - Fayette, AL","46,011",2.1,8.7,306.71,Medium,7/14/22,,
Geneva County,1061,Alabama,"26,271",162,"Houston (Dothan), AL - Dale, AL","277,857",6.3,22.7,285.49,High,7/14/22,,
Hale County,1065,Alabama,"14,651",156,"Tuscaloosa (Tuscaloosa), AL - Pickens, AL","252,047",6.9,5.2,518.74,Medium,7/14/22,,
Lawrence County,1079,Alabama,"32,924",185,"Morgan (Decatur), AL - Lawrence, AL","152,603",4.2,11.1,230.83,High,7/14/22,,
Lowndes County,1085,Alabama,"9,726",171,"Montgomery (Montgomery), AL - Autauga, AL","386,117",3.9,9.8,616.9,Medium,7/14/22,,
Marshall County,1095,Alabama,"96,774",224,"Etowah (Gadsden), AL - Marshall, AL","296,751",4.6,15.2,234.57,High,7/14/22,,
Russell County,1113,Alabama,"57,961",166,"Muscogee (Columbus), GA - Russell, AL","328,912",8.8,16.4,327.81,High,7/14/22,,
Tallapoosa County,1123,Alabama,"40,367",179,"Lee (Auburn), AL - Elmore, AL","304,186",3.2,9.2,413.7,Medium,7/14/22,,
Walker County,1127,Alabama,"63,521",150,"Jefferson (Birmingham), AL - Shelby, AL","1,237,724",3.8,16.4,489.6,High,7/14/22,,
Washington County,1129,Alabama,"16,326",161,"Mobile (Mobile), AL - Baldwin, AL","697,125",4.9,21.2,171.51,High,7/14/22,,
Winston County,1133,Alabama,"23,629",219,"Lauderdale (Florence), AL - Colbert, AL","202,961",2.5,13.8,308.94,High,7/14/22,,
Aleutians East Borough,2013,Alaska,"3,337",820,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK","547,697",4.2,8.6,509.44,Medium,7/14/22,,
Denali Borough,2068,Alaska,"2,097",819,"Fairbanks North Star Borough, AK - Denali/Yukon-Koyukuk, AK","111,069",4.8,10.8,"4,577.97",High,7/14/22,,
Haines Borough,2100,Alaska,"2,530",818,"Juneau City and Borough, AK - Sitka City and Borough, AK","46,907",3.2,4.3,355.73,Medium,7/14/22,,
Hoonah-Angoon CA,2105,Alaska,"2,148",818,"Juneau City and Borough, AK - Sitka City and Borough, AK","46,907",3.2,4.3,884.54,Medium,7/14/22,,
Ketchikan Gateway Borough,2130,Alaska,"13,901",817,"Ketchikan Gateway Borough, AK - Wrangell-Petersburg Cen, AK","25,872",10.8,19.3,309.33,High,7/14/22,,
Petersburg CA,2195,Alaska,"3,266",817,"Ketchikan Gateway Borough, AK - Wrangell-Petersburg Cen, AK","25,872",10.8,19.3,244.95,High,7/14/22,,
Southeast Fairbanks CA,2240,Alaska,"6,893",819,"Fairbanks North Star Borough, AK - Denali/Yukon-Koyukuk, AK","111,069",4.8,10.8,261.13,High,7/14/22,,
Yakutat Cty&Bor,2282,Alaska,579,818,"Juneau City and Borough, AK - Sitka City and Borough, AK","46,907",3.2,4.3,884.54,Medium,7/14/22,,
Coconino County,4005,Arizona,"143,476",699,"Maricopa (Phoenix), AZ - Pinal, AZ","5,380,796",3.9,10.7,347.79,High,7/14/22,,
Navajo County,4017,Arizona,"110,924",740,"San Juan, NM - Navajo, AZ","349,406",4.1,14.3,439.04,High,7/14/22,,
Pima County,4019,Arizona,"1,047,279",700,"Pima (Tucson), AZ - Cochise, AZ","1,268,034",3.3,7.6,179.51,Low,7/14/22,,
Santa Cruz County,4023,Arizona,"46,498",700,"Pima (Tucson), AZ - Cochise, AZ","1,268,034",3.3,7.6,279.58,Medium,7/14/22,,
Yavapai County,4025,Arizona,"235,099",699,"Maricopa (Phoenix), AZ - Pinal, AZ","5,380,796",3.9,10.7,223.31,High,7/14/22,,
